simulation_id HasNS HasRemnant HasMassGap
0 0.0 0.0 0.0029166666666666664
1 1.0 1.0 0.0
2 0.0 0.0 0.0
3 0.0 0.0 0.0
4 0.0 0.0 0.0
5 0.0 0.0 0.0
6 0.0 0.0 0.03563800904977375
7 0.0 0.0 6.024096385542169e-05 
8 0.0 0.0 0.0
9 0.0 0.0 0.05862239912739004
10 0.0 0.0 0.004106583072100313
11 0.0 0.0 0.0
12 0.0 0.0 0.04264138160689884
13 0.0 0.0 0.0
14 0.0 0.0 0.0
15 0.0 0.0 0.04264138160689884
16 0.0 0.0 0.0
17 0.0 0.0 0.0
18 1.0 1.0 0.0
19 0.0 0.0 0.0
20 0.0 0.0 0.0
21 0.0 0.0 0.004106583072100313
22 0.0 0.0 0.004106583072100313
23 0.0 0.0 0.0
24 0.0 0.0 0.16732175395138327
25 0.0 0.0 0.002857142857142857
26 0.0 0.0 0.04264138160689884
27 0.0 0.0 0.014514354066985646
28 0.0 0.0 0.009713507625272332
29 0.0 0.0 0.0
30 0.0 0.0 0.0
31 0.0 0.0 0.07769963369963369
32 0.0 0.0 0.0
33 0.0 0.0 0.0
34 0.0 0.0 0.0
35 0.0 0.0 0.0
36 1.0 0.0013198128296090133 0.06926197658550601
37 0.0 0.0 0.0
38 0.0 0.0 0.0
39 0.0018391833044142972 0.0 0.16752032540961762
40 0.0 0.0 0.004106583072100313
41 0.0 0.0 0.0
42 1.0 0.043266827464883154 0.31016930492140615
43 0.0 0.0 0.0
44 0.0 0.0 0.0
45 0.0 0.0 0.0
46 0.0 0.0 0.004106583072100313
47 1.0 1.0 0.0
48 0.0 0.0 2.3391812865497078e-05
49 0.0 0.0 0.0
50 0.0 0.0 0.004106583072100313
51 0.0 0.0 0.0
52 0.0 0.0 0.0
53 1.0 0.20600709815158227 0.7167125382607351
54 0.0 0.0 0.0
55 0.0 0.0 0.0
56 0.0 0.0 0.0
57 0.0 0.0 0.004106583072100313
58 0.0 0.0 0.0
59 0.0 0.0 0.0
60 0.0 0.0 0.0
61 0.0 0.0 0.0
62 0.0 0.0 0.0
63 0.0 0.0 0.03369230769230769
64 0.0 0.0 0.04264138160689884
65 0.0 0.0 0.16483777333777333
66 0.0 0.0 0.004106583072100313
67 0.0 0.0 0.02672086154779705
68 0.0 0.0 0.0
69 0.0 0.0 0.0
70 0.0 0.0 0.0
71 0.0 0.0 0.0
72 0.0 0.0 0.009696969696969697
73 0.0 0.0 0.0793056943056943
74 0.0 0.0 0.0015384615384615385
75 0.0 0.0 0.0
76 0.0 0.0 0.004106583072100313
77 0.0 0.0 0.004106583072100313
78 0.0 0.0 0.004106583072100313
79 0.0 0.0 0.038534798534798534
80 0.0 0.0 0.0
81 1.0 1.0 0.0
82 0.0 0.0 0.007667420814479638
83 0.0 0.0 0.0
84 0.0 0.0 0.030000744284954816
85 0.0 0.0 0.0
86 0.0 0.0 0.1537423505392245
87 1.0 1.0 0.0
88 0.0 0.0 0.004106583072100313
89 0.0 0.0 0.0
90 0.0 0.0 0.0
91 0.0 0.0 0.04264138160689884
92 0.005935477100281163 0.0 0.06507705120046317
93 0.0 0.0 0.038534798534798534
94 0.0 0.0 0.013936507936507936
95 0.0 0.0 0.004106583072100313
96 0.0 0.0 0.0
97 0.0 0.0 0.02145
98 0.0 0.0 0.0
99 0.0 0.0 0.03369230769230769
100 0.0 0.0 0.0
101 0.0 0.0 0.0
